common_name	family	order	scientific_name	status	taxon_id	vgp_phase	long_list	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
Micronesian kingfisher	Alcedinidae	Coraciiformes	Todiramphus cinnamominus	2-data_progress	1006542	phase2	VGP	VGP	VGP	VGP	VGP			
Anna's hummingbird	Trochilidae	Apodiformes	Calypte anna	8-NCBI	9244	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Boeseman's rainbowfish	Melanotaeniidae	Atheriniformes	Melanotaenia boesemani	8-NCBI	1250792	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
European starfish	Asteriidae	Forcipulatida	Asterias rubens	8-NCBI	7604	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Sardinian tree frog	Hylidae	Anura	Hyla sarda	2-data_progress	327740	phase3	VGP	VGP	VGP	VGP	VGP			
banded killifish	Fundulidae	Cyprinodontiformes	Fundulus diaphanus	2-data_progress	54267	phase2	VGP	VGP	VGP	VGP	VGP			
American flamingo	Phoenicopteridae	Phoenicopteriformes	Phoenicopterus ruber	8-NCBI	9217	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
American robin	Turdidae	Passeriformes	Turdus migratorius	0-data_queued	9188	phase4	VGP	VGP	VGP	VGP				
trahira	Erythrinidae	Characiformes	Hoplias malabaricus	2-data_progress	27720	phase2	VGP	VGP	VGP	VGP	VGP			
common swift	Apodidae	Apodiformes	Apus apus	8-NCBI	8895	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
cattle	Bovidae	Artiodactyla	Bos taurus	8-NCBI	9913	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
pale spear-nosed bat	Phyllostomidae	Chiroptera	Phyllostomus discolor	8-NCBI	89673	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Harpy eagle	Accipitridae	Falconiformes	Harpia harpyja	6-asm_curation	202280	phase3	VGP	VGP	VGP	VGP	VGP			
eastern musk turtle	Kinosternidae	Testudines	Sternotherus odoratus	2-data_progress	142480	phase1	VGP	VGP	VGP	VGP	VGP			
copperband butterflyfish	Chaetodontidae	Chaetodontiformes	Chelmon rostratus	8-NCBI	109905	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
horn shark	Heterodontidae	Heterodontiformes	Heterodontus francisci	2-data_progress	7792	phase1	VGP	VGP	VGP	VGP	VGP			
olive python	Pythonidae	Squamata	Liasis olivaceus	2-data_progress	283338	phase2	VGP	VGP	VGP	VGP	VGP			
house finch	Fringillidae	Passeriformes	Haemorhous mexicanus	6-asm_curation	30427	phase2	VGP	VGP	VGP	VGP	VGP			
hawaiian crow	Corvidae	Passeriformes	Corvus hawaiiensis	8-NCBI	134902	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Brown-headed cowbird	Icteridae	Passeriformes	Molothrus ater	0-data_queued	84834	phase3	VGP	VGP	VGP	VGP				
Riggenbach's reed frog	Hyperoliidae	Anura	Hyperolius riggenbachi	2-data_progress	752182	phase1	VGP	VGP	VGP	VGP	VGP			
painted frog	Alytidae	Anura	Discoglossus pictus	7-asm_curated	8351	phase1	VGP	VGP	VGP	VGP	VGP			
lanner falcon	Falconidae	Falconiformes	Falco biarmicus	7-asm_curated	345155	phase4	VGP	VGP	VGP	VGP	VGP			
climbing perch	Anabantidae	Anabantiformes	Anabas testudineus	8-NCBI	64144	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
southern two-toed sloth	Megalonychidae	Folivora	Choloepus didactylus	8-NCBI	27675	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chicken	Phasianidae	Galliformes	Gallus gallus	8-NCBI	9031	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Eastern phoebe	Tyrannidae	Passeriformes	Sayornis phoebe	1-DNA_isolation	56315	phase2	VGP	VGP	VGP	VGP	VGP			
leatherback sea turtle	Dermochelyidae	Testudines	Dermochelys coriacea	8-NCBI	27794	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
golden eagle	Accipitridae	Falconiformes	Aquila chrysaetos	8-NCBI	8962	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Western terrestrial garter snake	Colubridae	Squamata	Thamnophis elegans	8-NCBI	35005	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Abyssinian ground-hornbill	Bucorvidae	Bucerotiformes	Bucorvus abyssinicus	8-NCBI	153643	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebrafish	Danionidae	Cypriniformes	Danio rerio	8-NCBI	7955	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
stoplight loosejaw	Stomiidae	Stomiiformes	Malacosteus niger	2-data_progress	76143	phase2	VGP	VGP	VGP	VGP	VGP			
Philippine flying lemur	Cynocephalidae	Dermoptera	Cynocephalus volans	2-data_progress	110931	phase1	VGP	VGP	VGP	VGP	VGP			
Mexican gopher tortoise	Testudinidae	Testudines	Gopherus flavomarginatus	7-asm_curated	286002	phase4	VGP	VGP	VGP	VGP	VGP			
pejerrey	Atherinopsidae	Atheriniformes	Odontesthes bonariensis	2-data_progress	219752	phase2	VGP	VGP	VGP	VGP	VGP			
acorn worm	Harrimaniidae	Enteropneusta	Saccoglossus kowalevskii	2-data_progress	10224	phase2	VGP	VGP	VGP	VGP	VGP			
barnacle goose	Anatidae	Anseriformes	Branta leucopsis	5-asm_done	184711	phase3	VGP	VGP	VGP	VGP	VGP			
diamondback terrapin	Emydidae	Testudines	Malaclemys terrapin	2-data_progress	8485	phase1	VGP	VGP	VGP	VGP	VGP			
white-tufted-ear marmoset	Cebidae	Primates	Callithrix jacchus	8-NCBI	9483	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
gyrfalcon	Falconidae	Falconiformes	Falco rusticolus	8-NCBI	120794	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chimpanzee	Hominidae	Primates	Pan troglodytes	5-asm_done	9598	phase4	VGP	VGP	VGP	VGP	VGP			
orbiculate cardinalfish	Apogonidae	Kurtiformes	Sphaeramia orbicularis	8-NCBI	375764	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
shanny	Blenniidae	Blenniiformes	Lipophrys pholis	2-data_progress	56720	phase3	VGP	VGP	VGP	VGP	VGP			
Indian glassy fish	Ambassidae	Ovalentaria	Parambassis ranga	8-NCBI	210632	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common toad	Bufonidae	Anura	Bufo bufo	8-NCBI	8384	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
river trout	Salmonidae	Salmoniformes	Salmo trutta	8-NCBI	8032	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
carmine bee-eater	Meropidae	Coraciiformes	Merops nubicus	8-NCBI	57421	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
reedfish	Polypteridae	Polypteriformes	Erpetoichthys calabaricus	8-NCBI	27687	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
eastern narrow-mouthed toad	Microhylidae	Anura	Gastrophryne carolinensis	2-data_progress	8429	phase1	VGP	VGP	VGP	VGP	VGP			
delta smelt	Osmeridae	Osmeriformes	Hypomesus transpacificus	4-asm_progress	137520	phase3	VGP	VGP	VGP	VGP	VGP			
common bottlenose dolphin	Delphinidae	Artiodactyla	Tursiops truncatus	8-NCBI	9739	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
snow crab	Majidae	Decapoda	Chionoecetes opilio	2-data_progress	41210	phase2	VGP	VGP	VGP	VGP	VGP			
Nelson's sparrow	Passerellidae	Passeriformes	Ammospiza nelsoni	3-data_done	2857394	phase3	VGP	VGP	VGP	VGP	VGP			
garden warbler	Sylviidae	Passeriformes	Sylvia borin	8-NCBI	73324	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common myna	Sturnidae	Passeriformes	Acridotheres tristis	6-asm_curation	279927	phase3	VGP	VGP	VGP	VGP	VGP			
cunner	Labridae	Perciformes	Tautogolabrus adspersus	8-NCBI	34787	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Gabon caecilian	Dermophiidae	Gymnophiona	Geotrypetes seraphini	8-NCBI	260995	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Indo-Pacific tarpon	Megalopidae	Elopiformes	Megalops cyprinoides	8-NCBI	118141	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Atlantic cod	Gadidae	Gadiformes	Gadus morhua	8-NCBI	8049	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
nine-banded armadillo	Dasypodidae	Cingulata	Dasypus novemcinctus	2-data_progress	9361	phase1	VGP	VGP	VGP	VGP	VGP			
smalltooth sawfish	Pristidae	Rhinopristiformes	Pristis pectinata	8-NCBI	685728	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
honeycomb rockfish	Sebastidae	Perciformes	Sebastes umbrosus	8-NCBI	72105	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Australian echidna	Tachyglossidae	Monotremata	Tachyglossus aculeatus	8-NCBI	9261	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
midwater eelpout	Zoarcidae	Perciformes	Melanostigma pammelas	2-data_progress	557412	phase2	VGP	VGP	VGP	VGP	VGP			
grey catbird	Mimidae	Passeriformes	Dumetella carolinensis	0-data_queued	111981	phase2	VGP	VGP	VGP	VGP				
lesser kestrel	Falconidae	Falconiformes	Falco naumanni	8-NCBI	148594	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
tawny frogmouth	Podargidae	Caprimulgiformes	Podargus strigoides	3-data_done	8905	phase1	VGP	VGP	VGP	VGP	VGP			
red-bellied piranha	Serrasalmidae	Characiformes	Pygocentrus nattereri	8-NCBI	42514	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
bramble shark	Echinorhinidae	Echinorhiniformes	Echinorhinus brucus	1-DNA_isolation	862826	phase1	VGP	VGP	VGP	VGP	VGP			
striped catfish	Pangasiidae	Siluriformes	Pangasianodon hypophthalmus	7-asm_curated	310915	phase2	VGP	VGP	VGP	VGP	VGP			
Pallas's mastiff bat	Molossidae	Chiroptera	Molossus molossus	8-NCBI	27622	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Whooping crane	Gruidae	Gruiformes	Grus americana	4-asm_progress	9117	phase3	VGP	VGP	VGP	VGP	VGP			
California sea lion	Otariidae	Carnivora	Zalophus californianus	8-NCBI	9704	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
chipping sparrow	Passerellidae	Passeriformes	Spizella passerina	1-DNA_isolation	40210	phase3	VGP	VGP	VGP	VGP	VGP			
tarantolino	Sphaerodactylidae	Squamata	Euleptes europaea	2-data_progress	460621	phase1	VGP	VGP	VGP	VGP	VGP			
	Arcidae	Arcoida	Anadara tuberculosa	0-data_queued	173065	phase2	VGP	VGP	VGP	VGP				
common yellowthroat	Parulidae	Passeriformes	Geothlypis trichas	8-NCBI	135433	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Green sea turtle	Cheloniidae	Testudines	Chelonia mydas	8-NCBI	8469	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
	Trichomycteridae	Siluriformes	Trichomycterus rosablanca	0-data_queued	2290929	phase2	VGP	VGP	VGP	VGP				
lumpfish	Cyclopteridae	Scorpaeniformes	Cyclopterus lumpus	8-NCBI	8103	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
yellow-spotted hyrax	Procaviidae	Hyracoidea	Heterohyrax brucei	5-asm_done	77598	phase1	VGP	VGP	VGP	VGP	VGP			
grey catbird	Mimidae	Passeriformes	Dumetella carolinensis	0-data_queued	111981	phase4	VGP	VGP	VGP	VGP				
sand lizard	Lacertidae	Squamata	Lacerta agilis	8-NCBI	80427	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
common frog	Ranidae	Anura	Rana temporaria	8-NCBI	8407	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Humboldt's penguin	Spheniscidae	Sphenisciformes	Spheniscus humboldti	2-data_progress	9240	phase1	VGP	VGP	VGP	VGP	VGP			
blackcap	Sylviidae	Passeriformes	Sylvia atricapilla	8-NCBI	48155	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
northern pike	Esocidae	Esociformes	Esox lucius	8-NCBI	8010	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
speckled mousebird	Coliidae	Coliiformes	Colius striatus	2-data_progress	57412	phase1	VGP	VGP	VGP	VGP	VGP			
Red-legged seriema	Cariamidae	Cariamiformes	Cariama cristata	8-NCBI	54380	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
pygmy sperm whale	Physeteridae	Artiodactyla	Kogia breviceps	3-data_done	27615	phase2	VGP	VGP	VGP	VGP	VGP			
common brushtail	Phalangeridae	Diprotodontia	Trichosurus vulpecula	8-NCBI	9337	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Blainville's beaked whale	Ziphiidae	Artiodactyla	Mesoplodon densirostris	3-data_done	48708	phase2	VGP	VGP	VGP	VGP	VGP			
snub-nosed viper	Viperidae	Squamata	Vipera latastei	7-asm_curated	246179	phase1	VGP	VGP	VGP	VGP	VGP			
chicken	Phasianidae	Galliformes	Gallus gallus	7-asm_curated	9031	other	VGP	VGP	VGP	VGP	VGP			
Common canary	Fringillidae	Passeriformes	Serinus canaria	1-DNA_isolation	9135	phase3	VGP	VGP	VGP	VGP	VGP			
blunt-snouted clingfish	Gobiesocidae	Blenniiformes	Gouania willdenowi	8-NCBI	441366	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
cinnamon teal	Anatidae	Anseriformes	Spatula cyanoptera	5-asm_done	75840	phase3	VGP	VGP	VGP	VGP	VGP			
Canada lynx	Felidae	Carnivora	Lynx canadensis	8-NCBI	61383	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
slow loris	Lorisidae	Primates	Nycticebus coucang	2-data_progress	9470	phase1	VGP	VGP	VGP	VGP	VGP			
European shrew	Soricidae	Eulipotyphla	Sorex araneus	5-asm_done	42254	phase3	VGP	VGP	VGP	VGP	VGP			
Adriatic sturgeon	Acipenseridae	Acipenseriformes	Acipenser naccarii	2-data_progress	42330	phase4	VGP	VGP	VGP	VGP	VGP			
great cormorant	Phalacrocoracidae	Pelecaniformes	Phalacrocorax carbo	1-DNA_isolation	9209	phase1	VGP	VGP	VGP	VGP	VGP			
Blue whale	Balaenopteridae	Artiodactyla	Balaenoptera musculus	8-NCBI	9771	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
tufted titmouse	Paridae	Passeriformes	Baeolophus bicolor	1-DNA_isolation	88114	phase3	VGP	VGP	VGP	VGP	VGP			
yellow-throated sandgrouse	Pteroclidae	Pterocliformes	Pterocles gutturalis	8-NCBI	240206	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
acorn worm	Harrimaniidae	Enteropneusta	Saccoglossus kowalevskii	0-data_queued	10224	phase4	VGP	VGP	VGP	VGP				
thorny skate	Rajidae	Rajiformes	Amblyraja radiata	8-NCBI	386614	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
wood frog	Ranidae	Anura	Rana sylvatica	3-data_done	45438	phase4	VGP	VGP	VGP	VGP	VGP			
electric eel	Gymnotidae	Gymnotiformes	Electrophorus electricus	8-NCBI	8005	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Botta's pocket gopher	Geomyidae	Rodentia	Thomomys bottae	0-data_queued	10013	phase1	VGP	VGP	VGP	VGP				
torafugu	Tetraodontidae	Tetraodontiformes	Takifugu rubripes	8-NCBI	31033	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Atlantic ridley	Cheloniidae	Testudines	Lepidochelys kempii	0-data_queued	8472	phase3	VGP	VGP	VGP	VGP				
American goldfinch	Fringillidae	Passeriformes	Spinus tristis	1-DNA_isolation	54773	phase3	VGP	VGP	VGP	VGP	VGP			
jewelled blenny	Blenniidae	Blenniiformes	Salarias fasciatus	8-NCBI	181472	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
white-breasted nuthatches	Sittidae	Passeriformes	Sitta carolinensis	2-data_progress	50250	phase2	VGP	VGP	VGP	VGP	VGP			
rainbow smelt	Osmeridae	Osmeriformes	Osmerus mordax	3-data_done	8014	phase1	VGP	VGP	VGP	VGP	VGP			
Ring-tailed lemur	Lemuridae	Lemuriformes	Lemur catta	8-NCBI	9447	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
warty frogfish	Antennariidae	Lophiiformes	Antennarius maculatus	8-NCBI	882753	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
blue jay	Corvidae	Passeriformes	Cyanocitta cristata	2-data_progress	28727	phase4	VGP	VGP	VGP	VGP	VGP			
white-breasted nuthatches	Sittidae	Passeriformes	Sitta carolinensis	0-data_queued	50250	phase4	VGP	VGP	VGP	VGP				
lammergeier	Accipitridae	Falconiformes	Gypaetus barbatus	6-asm_curation	33610	phase3	VGP	VGP	VGP	VGP	VGP			
blackbird	Turdidae	Passeriformes	Turdus merula	5-asm_done	9187	phase4	VGP	VGP	VGP	VGP	VGP			
House wren	Certhiidae	Passeriformes	Troglodytes aedon	0-data_queued	58211	phase2	VGP	VGP	VGP	VGP				
Suruca trogon	Trogonidae	Trogoniformes	Trogon surrucura	8-NCBI	297711	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
tammar wallaby	Macropodidae	Diprotodontia	Macropus eugenii	4-asm_progress	9315	phase1	VGP	VGP	VGP	VGP	VGP			
Swamp sparrow	Passerellidae	Passeriformes	Melospiza georgiana	3-data_done	44398	phase4	VGP	VGP	VGP	VGP	VGP			
chub mackerel	Scombridae	Scombriformes	Scomber japonicus	5-asm_done	13676	phase1	VGP	VGP	VGP	VGP	VGP			
sea lamprey	Petromyzontidae	Petromyzontiformes	Petromyzon marinus	8-NCBI	7757	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Swift parrot	Psittacidae	Psittaciformes	Lathamus discolor	2-data_progress	678569	phase3	VGP	VGP	VGP	VGP	VGP			
largescale foureyes	Anablepidae	Cyprinodontiformes	Anableps anableps	8-NCBI	195821	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
saltmarsh sparrow	Passerellidae	Passeriformes	Ammodramus caudacutus	3-data_done	69262	phase4	VGP	VGP	VGP	VGP	VGP			
lesser Egyptian jerboa	Dipodidae	Rodentia	Jaculus jaculus	8-NCBI	51337	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
red-crested turaco	Musophagidae	Musophagiformes	Tauraco erythrolophus	8-NCBI	121530	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
sharpnose sevengill shark	Hexanchidae	Hexanchiformes	Heptranchias perlo	1-DNA_isolation	212740	phase1	VGP	VGP	VGP	VGP	VGP			
Gharial	Gavialidae	Crocodylia	Gavialis gangeticus	2-data_progress	94835	phase1	VGP	VGP	VGP	VGP	VGP			
Yucatan manta ray	Mobulidae	Myliobatiformes	Manta giorna	2-data_progress	000000	phase2	VGP	VGP	VGP	VGP	VGP			
prehistoric monster fish	Batrachoididae	Batrachoidiformes	Thalassophryne amazonica	8-NCBI	390379	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
rocket frog	Dendrobatidae	Anura	Anomaloglossus baeobatrachus	2-data_progress	238106	phase2	VGP	VGP	VGP	VGP	VGP			
plains spadefoot toad	Pelobatidae	Anura	Spea bombifrons	2-data_progress	233779	phase1	VGP	VGP	VGP	VGP	VGP			
yellowfin tuna	Scombridae	Scombriformes	Thunnus albacares	8-NCBI	8236	phase4	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
emu	Dromaiidae	Casuariiformes	Dromaius novaehollandiae	8-NCBI	8790	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
mallard	Anatidae	Anseriformes	Anas platyrhynchos	8-NCBI	8839	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
yellowfin seabream	Sparidae	Spariformes	Acanthopagrus latus	8-NCBI	8177	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Siamese fighting fish	Osphronemidae	Anabantiformes	Betta splendens	8-NCBI	158456	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
golden spiny mouse	Muridae	Rodentia	Acomys russatus	8-NCBI	60746	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
southern grasshopper mouse	Cricetidae	Rodentia	Onychomys torridus	8-NCBI	38674	phase3	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
zebrafish	Danionidae	Cypriniformes	Danio rerio	8-NCBI	7955	other	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
